# DURATION     TID     FUNCTION
   0.456 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.504 us [ 63010] |             lseek();
   0.962 us [ 63010] |             read();
   1.993 us [ 63010] |           } /* disk_read */
   2.333 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.445 us [ 63010] |             lseek();
   0.983 us [ 63010] |             read();
   1.961 us [ 63010] |           } /* disk_read */
   2.298 us [ 63010] |         } /* read_block */
   0.140 us [ 63010] |         strcmp();
   0.129 us [ 63010] |         strcmp();
   0.133 us [ 63010] |         strcmp();
   7.261 us [ 63010] |       } /* sfuse_readdir_cb */
  11.652 us [ 63010] |       /* linux:schedule */
   8.477 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.137 us [ 63010] |           fuse_get_context();
   0.471 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.153 us [ 63010] |           strcmp();
   0.462 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.474 us [ 63010] |             lseek();
   0.953 us [ 63010] |             read();
   2.012 us [ 63010] |           } /* disk_read */
   2.254 us [ 63010] |         } /* inode_load */
   0.127 us [ 63010] |         memset();
   3.865 us [ 63010] |       } /* sfuse_getattr_cb */
  18.995 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.171 us [ 63010] |           fuse_get_context();
   0.598 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.148 us [ 63010] |           strcmp();
   0.461 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.474 us [ 63010] |             lseek();
   0.982 us [ 63010] |             read();
   1.998 us [ 63010] |           } /* disk_read */
   2.192 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.457 us [ 63010] |             lseek();
   1.027 us [ 63010] |             read();
   1.964 us [ 63010] |           } /* disk_read */
   2.209 us [ 63010] |         } /* read_block */
   0.128 us [ 63010] |         strcmp();
   0.128 us [ 63010] |         strcmp();
   0.129 us [ 63010] |         strcmp();
   7.394 us [ 63010] |       } /* sfuse_readdir_cb */
  10.779 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.144 us [ 63010] |           fuse_get_context();
   0.480 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.143 us [ 63010] |           strcmp();
   0.454 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.502 us [ 63010] |             lseek();
   0.963 us [ 63010] |             read();
   1.987 us [ 63010] |           } /* disk_read */
   2.228 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.445 us [ 63010] |             lseek();
   0.971 us [ 63010] |             read();
   1.981 us [ 63010] |           } /* disk_read */
   2.164 us [ 63010] |         } /* read_block */
   0.153 us [ 63010] |         strcmp();
   0.126 us [ 63010] |         strcmp();
   0.134 us [ 63010] |         strcmp();
   7.073 us [ 63010] |       } /* sfuse_readdir_cb */
  12.734 us [ 63010] |       /* linux:schedule */
  11.087 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.160 us [ 63010] |           fuse_get_context();
   0.493 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.145 us [ 63010] |           strcmp();
   0.449 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.491 us [ 63010] |             lseek();
   1.025 us [ 63010] |             read();
   2.027 us [ 63010] |           } /* disk_read */
   2.267 us [ 63010] |         } /* inode_load */
   0.126 us [ 63010] |         memset();
   3.893 us [ 63010] |       } /* sfuse_getattr_cb */
  15.887 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.139 us [ 63010] |           fuse_get_context();
   0.571 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.141 us [ 63010] |           strcmp();
   0.457 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.490 us [ 63010] |             lseek();
   0.936 us [ 63010] |             read();
   1.932 us [ 63010] |           } /* disk_read */
   2.182 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.452 us [ 63010] |             lseek();
   1.006 us [ 63010] |             read();
   1.942 us [ 63010] |           } /* disk_read */
   2.189 us [ 63010] |         } /* read_block */
   0.126 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   7.303 us [ 63010] |       } /* sfuse_readdir_cb */
  11.480 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.143 us [ 63010] |           fuse_get_context();
   0.545 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.145 us [ 63010] |           strcmp();
   0.447 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.478 us [ 63010] |             lseek();
   0.977 us [ 63010] |             read();
   1.972 us [ 63010] |           } /* disk_read */
   2.217 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.445 us [ 63010] |             lseek();
   0.973 us [ 63010] |             read();
   6.166 us [ 63010] |           } /* disk_read */
   6.405 us [ 63010] |         } /* read_block */
   0.188 us [ 63010] |         strcmp();
   0.131 us [ 63010] |         strcmp();
   0.128 us [ 63010] |         strcmp();
  13.979 us [ 63010] |       } /* sfuse_readdir_cb */
  12.008 us [ 63010] |       /* linux:schedule */
  10.315 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.144 us [ 63010] |           fuse_get_context();
   0.512 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.147 us [ 63010] |           strcmp();
   0.456 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.493 us [ 63010] |             lseek();
   1.052 us [ 63010] |             read();
   2.074 us [ 63010] |           } /* disk_read */
   2.340 us [ 63010] |         } /* inode_load */
   0.124 us [ 63010] |         memset();
   3.999 us [ 63010] |       } /* sfuse_getattr_cb */
  76.097 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.142 us [ 63010] |           fuse_get_context();
   0.528 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.154 us [ 63010] |           strcmp();
   0.457 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.503 us [ 63010] |             lseek();
   1.006 us [ 63010] |             read();
   2.024 us [ 63010] |           } /* disk_read */
   2.212 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.458 us [ 63010] |             lseek();
   1.022 us [ 63010] |             read();
   1.994 us [ 63010] |           } /* disk_read */
   2.290 us [ 63010] |         } /* read_block */
   0.129 us [ 63010] |         strcmp();
   0.132 us [ 63010] |         strcmp();
   0.138 us [ 63010] |         strcmp();
   7.623 us [ 63010] |       } /* sfuse_readdir_cb */
  16.522 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.135 us [ 63010] |           fuse_get_context();
   0.539 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.144 us [ 63010] |           strcmp();
   0.452 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.497 us [ 63010] |             lseek();
   0.949 us [ 63010] |             read();
   1.972 us [ 63010] |           } /* disk_read */
   2.340 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.459 us [ 63010] |             lseek();
   0.984 us [ 63010] |             read();
   1.961 us [ 63010] |           } /* disk_read */
   2.225 us [ 63010] |         } /* read_block */
   0.149 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   7.284 us [ 63010] |       } /* sfuse_readdir_cb */
  22.864 us [ 63010] |       /* linux:schedule */
  26.748 us [ 63010] |       /* linux:schedule */
  14.441 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.142 us [ 63010] |           fuse_get_context();
   0.481 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.153 us [ 63010] |           strcmp();
   0.462 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.482 us [ 63010] |             lseek();
   0.954 us [ 63010] |             read();
   1.961 us [ 63010] |           } /* disk_read */
   2.205 us [ 63010] |         } /* inode_load */
   0.128 us [ 63010] |         memset();
   3.889 us [ 63010] |       } /* sfuse_getattr_cb */
  23.817 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.140 us [ 63010] |           fuse_get_context();
   0.572 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.148 us [ 63010] |           strcmp();
   0.473 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.487 us [ 63010] |             lseek();
   0.931 us [ 63010] |             read();
   1.937 us [ 63010] |           } /* disk_read */
   2.223 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.453 us [ 63010] |             lseek();
   1.042 us [ 63010] |             read();
   1.984 us [ 63010] |           } /* disk_read */
   2.242 us [ 63010] |         } /* read_block */
   0.127 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   0.132 us [ 63010] |         strcmp();
   7.555 us [ 63010] |       } /* sfuse_readdir_cb */
  13.518 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.146 us [ 63010] |           fuse_get_context();
   0.475 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.153 us [ 63010] |           strcmp();
   0.460 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.504 us [ 63010] |             lseek();
   0.962 us [ 63010] |             read();
   1.991 us [ 63010] |           } /* disk_read */
   2.230 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.444 us [ 63010] |             lseek();
   0.986 us [ 63010] |             read();
   1.942 us [ 63010] |           } /* disk_read */
   2.237 us [ 63010] |         } /* read_block */
   0.139 us [ 63010] |         strcmp();
   0.132 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   6.965 us [ 63010] |       } /* sfuse_readdir_cb */
  11.582 us [ 63010] |       /* linux:schedule */
   9.844 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.140 us [ 63010] |           fuse_get_context();
   0.470 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.138 us [ 63010] |           strcmp();
   0.456 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.504 us [ 63010] |             lseek();
   0.953 us [ 63010] |             read();
   2.035 us [ 63010] |           } /* disk_read */
   2.276 us [ 63010] |         } /* inode_load */
   0.124 us [ 63010] |         memset();
   3.951 us [ 63010] |       } /* sfuse_getattr_cb */
  18.781 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.143 us [ 63010] |           fuse_get_context();
   0.543 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.147 us [ 63010] |           strcmp();
   0.454 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.509 us [ 63010] |             lseek();
   0.947 us [ 63010] |             read();
   1.995 us [ 63010] |           } /* disk_read */
   2.330 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.515 us [ 63010] |             lseek();
   1.325 us [ 63010] |             read();
  20.284 us [ 63010] |           } /* disk_read */
  20.732 us [ 63010] |         } /* read_block */
   0.156 us [ 63010] |         strcmp();
   0.126 us [ 63010] |         strcmp();
   0.156 us [ 63010] |         strcmp();
  26.220 us [ 63010] |       } /* sfuse_readdir_cb */
  12.762 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.144 us [ 63010] |           fuse_get_context();
   0.477 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.143 us [ 63010] |           strcmp();
   0.454 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.486 us [ 63010] |             lseek();
   1.044 us [ 63010] |             read();
   2.069 us [ 63010] |           } /* disk_read */
   2.271 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.448 us [ 63010] |             lseek();
   1.025 us [ 63010] |             read();
   2.007 us [ 63010] |           } /* disk_read */
   2.306 us [ 63010] |         } /* read_block */
   0.151 us [ 63010] |         strcmp();
   0.184 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
  12.081 us [ 63010] |       } /* sfuse_readdir_cb */
  12.030 us [ 63010] |       /* linux:schedule */
  10.113 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.144 us [ 63010] |           fuse_get_context();
   0.480 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.146 us [ 63010] |           strcmp();
   0.455 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.465 us [ 63010] |             lseek();
   1.011 us [ 63010] |             read();
   2.000 us [ 63010] |           } /* disk_read */
   2.191 us [ 63010] |         } /* inode_load */
   0.128 us [ 63010] |         memset();
   3.959 us [ 63010] |       } /* sfuse_getattr_cb */
  20.300 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.150 us [ 63010] |           fuse_get_context();
   0.629 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.156 us [ 63010] |           strcmp();
   0.508 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.491 us [ 63010] |             lseek();
   0.926 us [ 63010] |             read();
   1.960 us [ 63010] |           } /* disk_read */
   2.223 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.469 us [ 63010] |             lseek();
   1.026 us [ 63010] |             read();
   2.069 us [ 63010] |           } /* disk_read */
   2.417 us [ 63010] |         } /* read_block */
   0.136 us [ 63010] |         strcmp();
   0.134 us [ 63010] |         strcmp();
   0.131 us [ 63010] |         strcmp();
   7.791 us [ 63010] |       } /* sfuse_readdir_cb */
  11.106 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.138 us [ 63010] |           fuse_get_context();
   0.480 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.140 us [ 63010] |           strcmp();
   0.452 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.513 us [ 63010] |             lseek();
   0.989 us [ 63010] |             read();
   2.034 us [ 63010] |           } /* disk_read */
   2.229 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.445 us [ 63010] |             lseek();
   2.309 us [ 63010] |             read();
   3.251 us [ 63010] |           } /* disk_read */
   3.481 us [ 63010] |         } /* read_block */
   0.146 us [ 63010] |         strcmp();
   0.125 us [ 63010] |         strcmp();
   0.132 us [ 63010] |         strcmp();
   8.415 us [ 63010] |       } /* sfuse_readdir_cb */
  10.866 us [ 63010] |       /* linux:schedule */
   9.504 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.137 us [ 63010] |           fuse_get_context();
   0.466 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.143 us [ 63010] |           strcmp();
   0.456 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.510 us [ 63010] |             lseek();
   0.978 us [ 63010] |             read();
   2.006 us [ 63010] |           } /* disk_read */
   2.218 us [ 63010] |         } /* inode_load */
   0.126 us [ 63010] |         memset();
   3.905 us [ 63010] |       } /* sfuse_getattr_cb */
  15.796 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.138 us [ 63010] |           fuse_get_context();
   0.538 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.140 us [ 63010] |           strcmp();
   0.453 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.487 us [ 63010] |             lseek();
   0.924 us [ 63010] |             read();
   1.946 us [ 63010] |           } /* disk_read */
   2.198 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.450 us [ 63010] |             lseek();
   1.001 us [ 63010] |             read();
   2.025 us [ 63010] |           } /* disk_read */
   2.363 us [ 63010] |         } /* read_block */
   0.125 us [ 63010] |         strcmp();
   0.133 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   7.505 us [ 63010] |       } /* sfuse_readdir_cb */
   9.855 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.142 us [ 63010] |           fuse_get_context();
   0.476 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.142 us [ 63010] |           strcmp();
   0.455 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.515 us [ 63010] |             lseek();
   0.982 us [ 63010] |             read();
   2.020 us [ 63010] |           } /* disk_read */
   2.232 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.442 us [ 63010] |             lseek();
   0.982 us [ 63010] |             read();
   1.931 us [ 63010] |           } /* disk_read */
   2.318 us [ 63010] |         } /* read_block */
   0.146 us [ 63010] |         strcmp();
   0.132 us [ 63010] |         strcmp();
   0.132 us [ 63010] |         strcmp();
   7.251 us [ 63010] |       } /* sfuse_readdir_cb */
  10.355 us [ 63010] |       /* linux:schedule */
   9.349 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.138 us [ 63010] |           fuse_get_context();
   0.482 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.144 us [ 63010] |           strcmp();
   0.463 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.487 us [ 63010] |             lseek();
   0.980 us [ 63010] |             read();
   1.981 us [ 63010] |           } /* disk_read */
   2.233 us [ 63010] |         } /* inode_load */
   0.125 us [ 63010] |         memset();
   3.914 us [ 63010] |       } /* sfuse_getattr_cb */
 134.994 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.134 us [ 63010] |           fuse_get_context();
   0.545 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.139 us [ 63010] |           strcmp();
   0.465 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.501 us [ 63010] |             lseek();
   0.940 us [ 63010] |             read();
   1.950 us [ 63010] |           } /* disk_read */
   2.157 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.437 us [ 63010] |             lseek();
   1.023 us [ 63010] |             read();
   1.962 us [ 63010] |           } /* disk_read */
   2.258 us [ 63010] |         } /* read_block */
   0.136 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
   0.126 us [ 63010] |         strcmp();
   7.536 us [ 63010] |       } /* sfuse_readdir_cb */
  24.921 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.143 us [ 63010] |           fuse_get_context();
   0.474 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.145 us [ 63010] |           strcmp();
   0.456 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.502 us [ 63010] |             lseek();
   0.950 us [ 63010] |             read();
   1.987 us [ 63010] |           } /* disk_read */
   2.283 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.445 us [ 63010] |             lseek();
   0.963 us [ 63010] |             read();
   1.938 us [ 63010] |           } /* disk_read */
   2.318 us [ 63010] |         } /* read_block */
   0.145 us [ 63010] |         strcmp();
   0.134 us [ 63010] |         strcmp();
   0.126 us [ 63010] |         strcmp();
  11.855 us [ 63010] |       } /* sfuse_readdir_cb */
 103.643 us [ 63010] |       /* linux:schedule */
  24.886 us [ 63010] |       /* linux:schedule */
  29.256 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.147 us [ 63010] |           fuse_get_context();
   0.486 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.156 us [ 63010] |           strcmp();
   0.463 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.832 us [ 63010] |             lseek();
   1.016 us [ 63010] |             read();
   2.379 us [ 63010] |           } /* disk_read */
   2.582 us [ 63010] |         } /* inode_load */
   0.125 us [ 63010] |         memset();
   4.307 us [ 63010] |       } /* sfuse_getattr_cb */
 112.585 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.142 us [ 63010] |           fuse_get_context();
   0.545 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.154 us [ 63010] |           strcmp();
   0.461 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.485 us [ 63010] |             lseek();
   0.938 us [ 63010] |             read();
   1.942 us [ 63010] |           } /* disk_read */
   2.196 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.450 us [ 63010] |             lseek();
   1.033 us [ 63010] |             read();
   1.985 us [ 63010] |           } /* disk_read */
   2.285 us [ 63010] |         } /* read_block */
   0.127 us [ 63010] |         strcmp();
   0.125 us [ 63010] |         strcmp();
   0.136 us [ 63010] |         strcmp();
   7.470 us [ 63010] |       } /* sfuse_readdir_cb */
  78.858 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.128 us [ 63010] |           fuse_get_context();
   0.440 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.132 us [ 63010] |           strcmp();
   0.420 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.444 us [ 63010] |             lseek();
   0.874 us [ 63010] |             read();
   1.814 us [ 63010] |           } /* disk_read */
   2.053 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.423 us [ 63010] |             lseek();
   0.907 us [ 63010] |             read();
   1.815 us [ 63010] |           } /* disk_read */
   2.164 us [ 63010] |         } /* read_block */
   0.136 us [ 63010] |         strcmp();
   0.118 us [ 63010] |         strcmp();
   0.121 us [ 63010] |         strcmp();
   6.626 us [ 63010] |       } /* sfuse_readdir_cb */
  21.516 us [ 63010] |       /* linux:schedule */
   7.119 us [ 63010] |       /* linux:schedule */
  17.950 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.151 us [ 63010] |           fuse_get_context();
   0.464 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.132 us [ 63010] |           strcmp();
   0.413 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.449 us [ 63010] |             lseek();
   0.871 us [ 63010] |             read();
   1.861 us [ 63010] |           } /* disk_read */
   2.028 us [ 63010] |         } /* inode_load */
   0.118 us [ 63010] |         memset();
   3.591 us [ 63010] |       } /* sfuse_getattr_cb */
  88.448 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.673 us [ 63010] |           fuse_get_context();
   3.674 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.358 us [ 63010] |           strcmp();
   0.900 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   2.337 us [ 63010] |             lseek();
   5.500 us [ 63010] |             read();
   8.586 us [ 63010] |           } /* disk_read */
   9.037 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.709 us [ 63010] |             lseek();
   2.622 us [ 63010] |             read();
   3.958 us [ 63010] |           } /* disk_read */
   4.266 us [ 63010] |         } /* read_block */
   0.129 us [ 63010] |         strcmp();
   0.269 us [ 63010] |         strcmp();
   0.120 us [ 63010] |         strcmp();
  23.679 us [ 63010] |       } /* sfuse_readdir_cb */
  13.548 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.280 us [ 63010] |           fuse_get_context();
   1.032 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.241 us [ 63010] |           strcmp();
   0.615 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.916 us [ 63010] |             lseek();
   1.821 us [ 63010] |             read();
   3.403 us [ 63010] |           } /* disk_read */
   3.722 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.654 us [ 63010] |             lseek();
   1.425 us [ 63010] |             read();
   2.643 us [ 63010] |           } /* disk_read */
   2.874 us [ 63010] |         } /* read_block */
   0.140 us [ 63010] |         strcmp();
   0.142 us [ 63010] |         strcmp();
   0.142 us [ 63010] |         strcmp();
